coreid,dc:rights,dcterms:accessRights,dcterms:bibliographicCitation,dcterms:language,dcterms:modified,dcterms:references,dcterms:rights,dcterms:rightsHolder,dcterms:source,dcterms:type,dwc:Identification,dwc:MeasurementOrFact,dwc:ResourceRelationship,dwc:VerbatimEventDate,dwc:accessRights,dwc:associatedMedia,dwc:associatedOccurrences,dwc:associatedReferences,dwc:associatedSequences,dwc:associatedTaxa,dwc:basisOfRecord,dwc:bed,dwc:behavior,dwc:catalogNumber,dwc:class,dwc:collectionCode,dwc:collectionID,dwc:continent,dwc:coordinatePrecision,dwc:coordinateUncertaintyInMeters,dwc:country,dwc:countryCode,dwc:county,dwc:dataGeneralizations,dwc:datasetID,dwc:datasetName,dwc:dateIdentified,dwc:day,dwc:decimalLatitude,dwc:decimalLongitude,dwc:disposition,dwc:dynamicProperties,dwc:earliestAgeOrLowestStage,dwc:earliestEonOrLowestEonothem,dwc:earliestEpochOrLowestSeries,dwc:earliestEraOrLowestErathem,dwc:earliestPeriodOrLowestSystem,dwc:endDayOfYear,dwc:establishmentMeans,dwc:eventDate,dwc:eventID,dwc:eventRemarks,dwc:eventTime,dwc:family,dwc:fieldNotes,dwc:fieldNumber,dwc:footprintWKT,dwc:formation,dwc:genus,dwc:geodeticDatum,dwc:geologicalContextID,dwc:georeferenceProtocol,dwc:georeferenceRemarks,dwc:georeferenceSources,dwc:georeferenceVerificationStatus,dwc:georeferencedBy,dwc:georeferencedDate,dwc:group,dwc:habitat,dwc:higherClassification,dwc:higherGeography,dwc:higherGeographyID,dwc:highestBiostratigraphicZone,dwc:identificationID,dwc:identificationQualifier,dwc:identificationReferences,dwc:identificationRemarks,dwc:identificationVerificationStatus,dwc:identifiedBy,dwc:individualCount,dwc:individualID,dwc:informationWithheld,dwc:infraspecificEpithet,dwc:institutionCode,dwc:institutionID,dwc:island,dwc:islandGroup,dwc:kingdom,dwc:latestAgeOrHighestStage,dwc:latestEonOrHighestEonothem,dwc:latestEpochOrHighestSeries,dwc:latestEraOrHighestErathem,dwc:latestPeriodOrHighestSystem,dwc:lifeStage,dwc:lithostratigraphicTerms,dwc:locality,dwc:locationAccordingTo,dwc:locationID,dwc:locationRemarks,dwc:lowestBiostratigraphicZone,dwc:maximumDepthInMeters,dwc:maximumElevationInMeters,dwc:member,dwc:minimumDepthInMeters,dwc:minimumElevationInMeters,dwc:month,dwc:municipality,dwc:nameAccordingTo,dwc:namePublishedIn,dwc:namePublishedInID,dwc:namePublishedInYear,dwc:nomenclaturalCode,dwc:nomenclaturalStatus,dwc:occurrenceDetails,dwc:occurrenceID,dwc:occurrenceRemarks,dwc:occurrenceStatus,dwc:order,dwc:originalNameUsage,dwc:otherCatalogNumbers,dwc:ownerInstitutionCode,dwc:parentNameUsage,dwc:phylum,dwc:preparation,dwc:preparations,dwc:previousIdentifications,dwc:recordNumber,dwc:recordedBy,dwc:relatedResourceID,dwc:reproductiveCondition,dwc:rights,dwc:rightsHolder,dwc:samplingEffort,dwc:samplingProtocol,dwc:scientificName,dwc:scientificNameAuthorship,dwc:scientificNameID,dwc:sex,dwc:specificEpithet,dwc:startDayOfYear,dwc:stateProvince,dwc:subgenus,dwc:taxonID,dwc:taxonRank,dwc:taxonRemarks,dwc:taxonomicStatus,dwc:typeStatus,dwc:verbatimCoordinateSystem,dwc:verbatimCoordinates,dwc:verbatimDepth,dwc:verbatimElevation,dwc:verbatimEventDate,dwc:verbatimLatitude,dwc:verbatimLocality,dwc:verbatimLongitude,dwc:verbatimSRS,dwc:verbatimTaxonRank,dwc:vernacularName,dwc:waterBody,dwc:year,fcc:datePicked,fcc:pickedBy,http://rs.gbif.org/terms/1.0/Reference,idigbio:associateAuthor,idigbio:associateCommonName,idigbio:associateCondition,idigbio:associateDeterminedBy,idigbio:associateIdentifier,idigbio:associateNotes,idigbio:associateRelationship,idigbio:associatedFamily,idigbio:associatedRelationship,idigbio:barcodeValue,idigbio:determinationHistory,idigbio:endangeredStatus,idigbio:hostFamily,idigbio:preparationCount,idigbio:preservative,idigbio:recordId,idigbio:subfamily,idigbio:subgenus,idigbio:substrate,idigbio:superfamily,idigbio:tribe,inhs:dead,inhs:formII_females,inhs:formII_males,inhs:formI_males,inhs:instars_Female,inhs:instars_Male,inhs:juv_females,inhs:juv_males,inhs:juv_undetermined,inhs:live,inhs:locationTrs,inhs:location_Basin,inhs:location_RiverMile,inhs:location_Stream,inhs:relic,inhs:total_Males,inhs:total_females,inhs:vouchered,symbiota:recordEnteredBy,symbiota:verbatimScientificName
f2276cac-98f6-426b-bf67-bc1bb4cfae84,,,,,2014-07-17,"Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: 2015-03-18. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115",,,,,,,,,,,,,,associated with:Gossypium sp.,PreservedSpecimen,,,MEMU_ENT 00118072,,,,,,,United States,,Chowan,,urn:uuid:f0cec69a-853c-11e4-8259-0026552be7ea,"Plants, herbivores, and parasitoids: A model system for the study of tri-trophic associations project",,,36.02250,36.02250,,,,,,,,,,1978-06-27,,,,Piesmatidae,,,,,Piesma,,,,Location over water. Uncert covers land on boths sides 4931 m,,,,,,cultivated cotton,Animalia;Arthropoda;Piesmatidae;Piesmatinae,,,,,,,,,,1,,,,MEMU,,,,,,,,,,Adult,,4 mi WSW of Edenton,GeoLocate Software,,,,,,,,,,,,,,,,,,urn:uuid:886f087a-d8e1-11e2-99a2-0026552be7ea,,,,,,"Mississippi Entomological Museum, Mississippi State University",,,,,,,W. A. Dickerson,,,,,,Vacuum Sampling,Piesma cinereum,"(Say,1832)",,Female,cinereum,,North Carolina,,,,,,None,,,,,,,,,,,,,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200dd3d-fb45-401b-9a13-fb7bdbf5ff23,,,,,2014-03-03,"Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: 2015-03-18. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115",,,,,,,,,,,,,,collected in:Gossypium sp.,PreservedSpecimen,,,MEMU_ENT 00121510,,,,,,,United States,,Chowan,,urn:uuid:f0cec69a-853c-11e4-8259-0026552be7ea,"Plants, herbivores, and parasitoids: A model system for the study of tri-trophic associations project",,,36.02250,36.02250,,,,,,,,,,1978-06-27,,,,Geocoridae,,,,,Geocoris,,,,Location over water. Uncert covers land on boths sides 4931 m,,,,,,,Animalia;Arthropoda;Geocoridae;Geocorinae,,,,,,,,,,1,,,,MEMU,,,,,,,,,,Adult,,4 mi WSW of Edenton,GeoLocate Software,,,,,,,,,,,,,,,,,,urn:uuid:889a95a8-d8e1-11e2-99a2-0026552be7ea,,,,,,"Mississippi Entomological Museum, Mississippi State University",,,,,,,W. A. Dickerson,,,,,,Vacuum Sampling,Geocoris uliginosus,"(Say,1832)",,Male,uliginosus,,North Carolina,,,,,,None,,,,,,,,,,,,,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef73a5d0-ff4d-407d-b14e-24de58239fc6,,,,,2014-07-11,"Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: 2015-03-18. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115",,,,,,,,,,,,,,associated with:Gossypium sp.,PreservedSpecimen,,,MEMU_ENT 00112510,,,,,,,United States,,Chowan,,urn:uuid:f0cec69a-853c-11e4-8259-0026552be7ea,"Plants, herbivores, and parasitoids: A model system for the study of tri-trophic associations project",,,36.02250,36.02250,,,,,,,,,,1978-07-19,,,,Anthocoridae,,,,,Orius,,,,Location over water. Uncert covers land on boths sides 4931 m,,,,,,cultivated cotton,Animalia;Arthropoda;Anthocoridae;Anthocorinae;Oriini,,,,,,,,,,1,,,,MEMU,,,,,,,,,,Adult,,4 mi WSW of Edenton,GeoLocate Software,,,,,,,,,,,,,,,,,,urn:uuid:88142158-d8e1-11e2-99a2-0026552be7ea,,,,,,"Mississippi Entomological Museum, Mississippi State University",,,,,,,W. A. Dickerson,,,,,,Vacuum Sampling,Orius insidiosus,"Say,1832",,,insidiosus,,North Carolina,,,,,,None,,,,,,,,,,,,,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
688a1236-f502-4f00-aa70-e7a051879c72,,,,,2014-12-29,"Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: 2015-03-18. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115",,,,,,,,,,,,,,associated with:Gossypium sp.,PreservedSpecimen,,,MEMU_ENT 00140385,,,,,,,United States,,Chowan,,urn:uuid:f0cec69a-853c-11e4-8259-0026552be7ea,"Plants, herbivores, and parasitoids: A model system for the study of tri-trophic associations project",1984,,36.02250,36.02250,,,,,,,,,,1978-06-27,,,,Cicadellidae,,,,,Norvellina,,,,Location over water. Uncert covers land on boths sides 4931 m,,,,,,cultivated cotton,Animalia;Arthropoda;Cicadellidae;Deltocephalinae;Athysanini,,,,,,,,,L. W. Hepner,1,,,,MEMU,,,,,,,,,,Adult,,4 mi WSW of Edenton,GeoLocate Software,,,,,,,,,,,,,,,,,,urn:uuid:f2813f58-8560-11e4-8259-0026552be7ea,,,,,,"Mississippi Entomological Museum, Mississippi State University",,,,,,,W. A. Dickerson,,,,,,Vacuum Sampling,Norvellina seminuda,"Say,1830",,Female,seminuda,,North Carolina,,,,,,None,,,,,,,,,,,,,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1df5f9ca-dcdd-4470-83c2-1edf762f4ce2,,,,,2013-08-30,"Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: 2015-03-18. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115",,,,,,,,,,,,,,,PreservedSpecimen,,,NCSU 0164799,,,,,,,United States,,Cumberland,,urn:uuid:f0cec69a-853c-11e4-8259-0026552be7ea,"Plants, herbivores, and parasitoids: A model system for the study of tri-trophic associations project",,,35.15147,35.15147,,,,,,,,,,1997-10-25,,,,Thyreocoridae,,,,,Corimelaena,,,,Uncert 2826 m. Marker in space between end of 1813 and Hwy 82,,,,,,,Animalia;Arthropoda;Thyreocoridae,,,,,,,,,R. L. Blinn,1,,,,NCSU,,,,,,,,,,Adult,,Hwy-82 at SR-1813,GeoLocate Software,,,,,,,,,,,,,,,,,,urn:uuid:67158ee6-11a4-11e3-8e88-0026552be7ea,,,,,,North Carolina State University Insect Collection,,,,,,,L. L. Deitz,,,,,,Sweep Netting,Corimelaena lateralis,"(Fabricius,1803)",,Male,lateralis,,North Carolina,,,,,,None,,,,,,,,,,,,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44439c8f-c731-4bf6-a109-dca1ff418c30,,,,,2012-05-01,"Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: 2015-03-18. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115",,,,,,,,,,,,,,,PreservedSpecimen,,,NCSU 0127077,,,,,,,United States,,Cumberland,,urn:uuid:f0cec69a-853c-11e4-8259-0026552be7ea,"Plants, herbivores, and parasitoids: A model system for the study of tri-trophic associations project",1997,,35.15147,35.15147,,,,,,,,,,1997-10-25,,,,Membracidae,,,,,Spissistilus,,,,Uncert 2826 m. Marker in space between end of 1813 and Hwy 82,,,,,,,Animalia;Arthropoda;Membracidae;Smiliinae;Ceresini,,,,,,,,,M. J. Rothschild,1,,,,NCSU,,,,,,,,,,Adult,,Hwy-82 at SR-1813,GeoLocate Software,,,,,,,,,,,,,,,,,,urn:uuid:86660074-d8e1-11e2-99a2-0026552be7ea,,,,,,North Carolina State University Insect Collection,,,,,,,L. L. Deitz,,,,,,General Collecting,Spissistilus festinus,"(Say,1866)",,Female,festinus,,North Carolina,,,,,,None,,,,,,,,,,,,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3f5f8118-d439-45be-8f66-b181c7e6c761,,,,,2012-05-01,"Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: 2015-03-18. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115",,,,,,,,,,,,,,,PreservedSpecimen,,,NCSU 0127082,,,,,,,United States,,Cumberland,,urn:uuid:f0cec69a-853c-11e4-8259-0026552be7ea,"Plants, herbivores, and parasitoids: A model system for the study of tri-trophic associations project",1997,,35.15147,35.15147,,,,,,,,,,1997-10-25,,,,Membracidae,,,,,Spissistilus,,,,Uncert 2826 m. Marker in space between end of 1813 and Hwy 82,,,,,,,Animalia;Arthropoda;Membracidae;Smiliinae;Ceresini,,,,,,,,,M. J. Rothschild,1,,,,NCSU,,,,,,,,,,Adult,,Hwy-82 at SR-1813,GeoLocate Software,,,,,,,,,,,,,,,,,,urn:uuid:8666047a-d8e1-11e2-99a2-0026552be7ea,,,,,,North Carolina State University Insect Collection,,,,,,,L. L. Deitz,,,,,,General Collecting,Spissistilus festinus,"(Say,1866)",,Male,festinus,,North Carolina,,,,,,None,,,,,,,,,,,,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15cf24ef-85cb-4e0a-b048-845654f7cba4,,,,,2012-05-01,"Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: 2015-03-18. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115",,,,,,,,,,,,,,,PreservedSpecimen,,,NCSU 0127080,,,,,,,United States,,Cumberland,,urn:uuid:f0cec69a-853c-11e4-8259-0026552be7ea,"Plants, herbivores, and parasitoids: A model system for the study of tri-trophic associations project",1997,,35.15147,35.15147,,,,,,,,,,1997-10-25,,,,Membracidae,,,,,Spissistilus,,,,Uncert 2826 m. Marker in space between end of 1813 and Hwy 82,,,,,,,Animalia;Arthropoda;Membracidae;Smiliinae;Ceresini,,,,,,,,,M. J. Rothschild,1,,,,NCSU,,,,,,,,,,Adult,,Hwy-82 at SR-1813,GeoLocate Software,,,,,,,,,,,,,,,,,,urn:uuid:86660326-d8e1-11e2-99a2-0026552be7ea,,,,,,North Carolina State University Insect Collection,,,,,,,L. L. Deitz,,,,,,General Collecting,Spissistilus festinus,"(Say,1866)",,Male,festinus,,North Carolina,,,,,,None,,,,,,,,,,,,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e72ca05c-1086-481d-afa6-5dbff0483a05,,,,,2012-04-27,"Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: 2015-03-18. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115",,,,,,,,,,,,,,,PreservedSpecimen,,,NCSU 0126987,,,,,,,United States,,Cumberland,,urn:uuid:f0cec69a-853c-11e4-8259-0026552be7ea,"Plants, herbivores, and parasitoids: A model system for the study of tri-trophic associations project",1997,,35.15147,35.15147,,,,,,,,,,1997-10-25,,,,Membracidae,,,,,Spissistilus,,,,Uncert 2826 m. Marker in space between end of 1813 and Hwy 82,,,,,,,Animalia;Arthropoda;Membracidae;Smiliinae;Ceresini,,,,,,,,,M. J. Rothschild,1,,,,NCSU,,,,,,,,,,Adult,,Hwy-82 at SR-1813,GeoLocate Software,,,,,,,,,,,,,,,,,,urn:uuid:865faea4-d8e1-11e2-99a2-0026552be7ea,,,,,,North Carolina State University Insect Collection,,,,,,,M. J. Rothschild,,,,,,General Collecting,Spissistilus festinus,"(Say,1866)",,Female,festinus,,North Carolina,,,,,,None,,,,,,,,,,,,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9738afb4-d5fb-4f2c-be01-c9538f86a37c,,,,,2014-11-29,"Tri-Trophic Thematic Collection Network, 2014 (and updates). Version: 2015-03-18. http://tcn.amnh.org/. National Science Foundation grant(s) EF#1115081, EF#1115103, EF#1115080, EF#1115144, EF#1115191, EF#1115104, EF#1115115",,,,,,,,,,,,,,associated with:Gossypium sp.,PreservedSpecimen,,,MEMU_ENT 00148590,,,,,,,United States,,Chowan,,urn:uuid:f0cec69a-853c-11e4-8259-0026552be7ea,"Plants, herbivores, and parasitoids: A model system for the study of tri-trophic associations project",1984,,36.02250,36.02250,,,,,,,,,,1978-07-19,,,,Cicadellidae,,,,,Graphocephala,,,,Location over water. Uncert covers land on boths sides 4931 m,,,,,,cultivated cotton,Animalia;Arthropoda;Cicadellidae;Cicadellinae;Cicadellini,,,,,,,,,L. W. Hepner,1,,,,MEMU,,,,,,,,,,Adult,,4 mi WSW of Edenton,GeoLocate Software,,,,,,,,,,,,,,,,,,urn:uuid:068e5d7c-6c3a-11e4-8259-0026552be7ea,,,,,,"Mississippi Entomological Museum, Mississippi State University",,,,,,,W. A. Dickerson,,,,,,Vacuum Sampling,Graphocephala versuta,"(Say,1830)",,Female,versuta,,North Carolina,,,,,,None,,,,,,,,,,,,,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
