Locality	Latitude	Longitude	Country	State_Province	County
426	Bon Secour NWR	30.22861	87.83083	United States	Alabama	Baldwin
51	15 mi W of Amado	31.108	-111.32	United States	Arizona	Pima
96	Guadalupe Canyon	31.3325	-109.08861	United States	Arizona	Cochise
133	Huachuca Mts.	31.2902	-110.2429	United States	Arizona	Cochise
216	Coronado National Forest Sycamore Canyon	31.41667	111.18333	United States	Arizona	Santa Cruz
229	Huachuca Mountains Garden Canyon, 8.9 km SSW Sierra Vista	31.47888	110.34305	United States	Arizona	Cochise
357	14.2 km SW Tombstone Charleston Road at San Pedro River crossing	31.62638	110.17472	United States	Arizona	Cochise
468	Yaqui Canyon Area, Coronado National Memorial	31.00581	-110.00453	United States	Arizona	Cochise
504	Leslie Canyon, Swisshelm Mtns.	31.00982	-109.00846	United States	Arizona	Cochise
789	Pena Blanca	31.2501	-111.0444	United States	Arizona	Santa Cruz
971	13.3 km SSW Willcox along Weigand Road on Willcox Playa	32.14916	109.90138	United States	Arizona	Cochise
974	5.8 km SE Willcox on salt playa along Blue Sky Road	32.21944	109.78083	United States	Arizona	Cochise
1094	Organ Pipe National Monument, Puerto Blanco Dr. Marker #10	31.92697	-112.96088	United States	Arizona	Pima
1339	Huachuca Mountains Garden Canyon, 9 km SSW Sierra Vista	31.47888	110.34305	United States	Arizona	Cochise
1524	Box Canyon Coronado National Forest	31.78333	110.78028	United States	Arizona	Pima
1890	Dragoon Mtns, Jordan Cyn	31.9925	110.01861	United States	Arizona	Cochise
2737	Coronado National Forest Dragoon Mtns, Jordan Cyn	31.98944	110.01861	United States	Arizona	Cochise
3017	Coronado Nat'l Forest Texas Cyn., Txas Cyn. Rd.	32.03889	110.09639	United States	Arizona	Cochise
1	1.5 km W of Parque Sierra San Pedro Martir	30.98	-115.61	MEXICO	Baja California Norte	None or Unknown
3	Tecate, 3.4 mi S of El Condor	32.41751	-116.16666	MEXICO	Baja California Norte	None or Unknown
4	22 km W of Parque Sierra San Pedro Martir	30.96	-115.85	MEXICO	Baja California Norte	None or Unknown
6	38 km E of Rt 1 toward Parque San Pedro Martir	30.96	-115.82	MEXICO	Baja California Norte	None or Unknown
10	Ensenada	31.86667	-116.61667	MEXICO	Baja California Norte	None or Unknown
15	6.3 mi S of El Condor, Tecate	32.40423	-116.10917	MEXICO	Baja California Norte	None or Unknown
16	Catavina	29.8667	-114.95	MEXICO	Baja California Norte	None or Unknown
17	45 km N of Catavina on Hwy 1	29.96291	-115.09838	MEXICO	Baja California Norte	Ensenada Municipality
32	25 km W of San Pedro Martir Observatory	30.9778	-115.60278	MEXICO	Baja California Norte	Ensenada Municipality
34	3.5 mi W of Parque Sierra San Pedro Martir	30.98	-115.7	MEXICO	Baja California Norte	None or Unknown
36	53 km W of Punta Prieta toward Bahia de los Angeles	28.97187	-113.73793	MEXICO	Baja California Norte	None or Unknown
59	Tecate, 0.3 mi E of El Condor	32.46666	-116.16152	MEXICO	Baja California Norte	None or Unknown
62	5 km N of Bahia de los Angeles	28.99509	-113.55	MEXICO	Baja California Norte	None or Unknown
63	51 km W of Bahia de los Angeles	28.94	-114.07	MEXICO	Baja California Norte	None or Unknown
66	7 km W of Parque Sierra San Pedro Martir	30.97	-115.68	MEXICO	Baja California Norte	None or Unknown
87	12 mi E of El Rosario	30.1532	-115.53903	MEXICO	Baja California Norte	None or Unknown
92	Tecate, 0.3 mi S of El Condor	32.46666	-116.16152	MEXICO	Baja California Norte	None or Unknown
94	3.2 km S of San Quintin	30.53127	-115.93368	MEXICO	Baja California Norte	None or Unknown
102	9.2 km W of Bahia de Los Angeles	28.97266	-113.63212	MEXICO	Baja California Norte	None or Unknown
116	66 km E of Hwy 1 to San Pedro Martir	30.9653	-115.6068	MEXICO	Baja California Norte	Ensenada Municipality
120	N of San Pedro Martir	31.1794	-115.607	MEXICO	Baja California Norte	Ensenada Municipality
148	6 mi S of San Felipe	30.95486	-114.77906	MEXICO	Baja California Norte	None or Unknown
160	San Luis	28.43333	-113.75	MEXICO	Baja California Norte	None or Unknown
184	41 km W of Parque Sierra San Pedro Martir	30.96	-115.97	MEXICO	Baja California Norte	None or Unknown
234	13 mi N of Punta Prieta	29	-114.4	MEXICO	Baja California Norte	None or Unknown
297	San Telmo Canyon	30.97977	-116.0946	MEXICO	Baja California Norte	None or Unknown
308	2 km S of NP de Constitucion	32.0097	-115.94785	MEXICO	Baja California Norte	Ensenada Municipality
318	Angel de la Guardia Island, Palm Canyon	29.33333	-113.41666	MEXICO	Baja California Norte	None or Unknown
354	44 km S of Tijuana	32.19768	-116.91037	MEXICO	Baja California Norte	None or Unknown
393	2 mi S of Ensenada, at Rancho Todos Santos	31.84	-116.6	MEXICO	Baja California Norte	None or Unknown
415	44.5 km E of Rt 1 toward Parque San Pedro Martir	30.97935	-115.73089	MEXICO	Baja California Norte	None or Unknown
448	26 mi S of San Felipe	30.66071	-114.75003	MEXICO	Baja California Norte	Mexicali Municipality
481	5 km N of Hwy 3 to NP Constitucion	31.88525	-116.11113	MEXICO	Baja California Norte	Ensenada Municipality
484	San Felipe (city of)	31	-114.86666	MEXICO	Baja California Norte	Mexicali Municipality
521	San Pedro Martir	31.01652	-115.61317	MEXICO	Baja California Norte	None or Unknown
530	22 mi W of Parque Nacional Sierra San Pedro Martir	30.77483	-115.6115	MEXICO	Baja California Norte	None or Unknown
557	2 mi W of Las Encinas, Sierra San Pedro Martir	30.98	-115.65	MEXICO	Baja California Norte	None or Unknown
581	21 mi NW of Rancho Chapala	29.52549	-114.50183	MEXICO	Baja California Norte	None or Unknown
600	El Consuelo Dunes	30.15	-115.78333	MEXICO	Baja California Norte	None or Unknown
694	Sierra Juarez, 12 mi S of Mexicali-Tecate Hwy. along road to E Topo Ranch	32.3716	-115.99572	MEXICO	Baja California Norte	None or Unknown
847	38 km E Rt 1 to Parque San Pedro Martir	30.96	-115.82	MEXICO	Baja California Norte	None or Unknown
953	36 km off Hwy 1 to San Pedro Martir	30.9555	-115.85553	MEXICO	Baja California Norte	Ensenada Municipality
962	36 km W of Bahia de Los Angeles	29.03075	-113.86392	MEXICO	Baja California Norte	None or Unknown
1000	7 mi SE of Maneadero	31.6451	-116.48261	MEXICO	Baja California Norte	None or Unknown
1069	12 mi SE of Maneadero	31.59399	-116.42265	MEXICO	Baja California Norte	None or Unknown
1194	Tijuana	32.5333	-117.0167	MEXICO	Baja California Norte	None or Unknown
1373	9 mi S of San Augustin	29.86559	-114.84362	MEXICO	Baja California Norte	None or Unknown
1387	San Vicente	31.32473	-116.24734	MEXICO	Baja California Norte	None or Unknown
1677	36 mi SE of El Rosario, Rancho El Progresso	29.67	-115.28	MEXICO	Baja California Norte	None or Unknown
1919	Mezquital, 23 mi. SE (Arroyo San Luis)	28.01488	-113.68367	MEXICO	Baja California Norte	None or Unknown
